High,Low,Volume
36.125041,34.50,17510400
36.250079,31.50,28483200
31.374959,29.25,12691200
30.37488,28.750079,9270400
31.750079,29.749921,18787200
34.12512,31.87488,11481600
34.999921,33.125041,7427200
36.250079,34.000079,13686400
34.999921,33.499921,16043200
35.124959,33.75,6904000
35.375041,32.500079,21408000
33.75,31.87488,17718400
36.624959,31.625041,27313600
37.374959,33.125041,41558400
34.999921,31.999921,28099200
35.25,32.124959,28028800
33.250079,31.000079,29809600
32.25,28.625041,30428800
31.249921,26.500079,36244800
26.874959,24.875041,24388800
27.00,24.75,20267200
25.999921,22.87488,50636800
21.87504,20.87496,5376000
22.12512,19.750081,18164800
19.249919,19.000081,2577600
19.750081,18.87504,4907200
20.37504,18.75,2924800
20.500081,19.4376,5008000
19.87488,19.000081,6640000
18.75,17.51568,2180800
17.500081,16.750081,2579200
17.62512,16.750081,3923200
18.250081,17.749919,1396800
18.75,17.87496,1806400
18.250081,17.87496,1513600
18.12504,17.749919,715200
18.499919,17.37504,3619200
18.12504,16.999919,4926400
18.62496,17.87496,2049600
19.37496,17.87496,5496000
18.75,17.87496,1732800
20.25,18.62496,1886400
20.25,19.50,1353600
20.12496,19.000081,2851200
19.87488,19.12512,2592000
21.37488,20.25,2521600
21.37488,20.25,3827200
21.75,19.87488,5596800
22.12512,19.750081,8190400
20.37504,19.750081,1633600
20.62512,18.75,9120000
19.12512,18.75,1081600
19.12512,18.499919,803200
19.000081,18.499919,1057600
19.750081,18.87504,3419200
19.249919,17.37504,6734400
17.62512,17.25,1124800
17.749919,17.25,1588800
18.12504,17.62512,1022400
18.12504,17.749919,2137600
18.499919,17.87496,1729600
18.62496,18.250081,1192000
19.000081,18.12504,1681600
19.750081,18.62496,1340800
20.12496,19.62504,712000
20.25,19.50,2348800
19.50,18.12504,2179200
18.37488,17.87496,932800
18.499919,17.87496,1656000
19.249919,17.62512,2982400
19.750081,19.000081,995200
19.750081,19.50,340800
20.25,19.50,1646400
20.62512,20.12496,969600
20.749919,20.500081,625600
20.749919,20.500081,558400
21.00,20.500081,1984000
21.12504,20.87496,1244800
21.499919,21.00,1492800
22.12512,21.250081,1868800
22.249919,21.75,2232000
22.249919,21.75,2582400
22.12512,21.12504,3504000
21.62496,21.00,2702400
21.75,21.00,3884800
21.62496,20.62512,6452800
20.87496,20.37504,2382400
22.87488,20.37504,8673600
22.50,20.87496,2366400
22.62504,20.87496,2299200
22.62504,22.000081,715200
23.25,22.000081,2046400
23.500081,22.000081,4324800
22.62504,20.37504,5827200
21.250081,19.12512,4105600
21.75,21.250081,849600
22.12512,21.499919,688000
22.12512,21.62496,1067200
22.62504,21.62496,2040000
23.87496,22.50,3774400
24.624959,23.749919,5332800
24.00,21.37488,7460800
21.499919,20.500081,1761600
21.62496,20.37504,1977600
21.62496,20.749919,2665600
21.00,20.500081,1382400
20.87496,19.750081,3193600
19.50,18.75,1374400
19.000081,18.499919,1267200
19.12512,18.499919,907200
18.87504,18.12504,835200
18.62496,18.12504,753600
18.62496,18.37488,148800
19.249919,18.62496,528000
19.37496,18.75,1012800
20.12496,19.37496,913600
21.12504,19.750081,1987200
22.12512,20.12496,5193600
20.37504,19.750081,1897600
20.12496,19.750081,388800
20.25,19.750081,1024000
19.999919,18.250081,1921600
19.249919,18.250081,688000
19.62504,19.12512,494400
19.62504,19.37496,428800
19.87488,19.12512,864000
20.37504,19.62504,1177600
20.62512,19.999919,4852800
20.500081,16.999919,10464000
17.500081,16.999919,864000
17.749919,16.50,1833600
18.499919,17.749919,1748800
18.250081,17.749919,971200
19.249919,18.12504,817600
19.37496,18.87504,510400
19.249919,18.499919,1168000
19.000081,17.500081,1388800
18.00,16.999919,931200
17.500081,16.249919,686400
16.62504,16.12512,371200
16.62504,15.75,600000
16.750081,15.75,1283200
16.37496,15.499919,888000
18.00,16.249919,1881600
19.000081,17.500081,1132800
19.87488,18.75,1235200
19.87488,18.75,1608000
19.249919,17.749919,1849600
18.499919,17.37504,3726400
18.499919,17.500081,1900800
18.00,16.999919,1696000
17.25,15.499919,3510400
18.75,16.000081,5899200
19.999919,18.499919,2112000
19.999919,19.249919,1211200
20.62512,19.750081,748800
21.75,20.500081,1384000
22.249919,21.250081,984000
22.249919,20.500081,2286400
21.00,19.000081,4067200
22.000081,18.250081,7392000
22.000081,20.749919,1488000
22.249919,21.499919,993600
22.249919,21.75,633600
22.750081,21.75,2544000
21.75,20.500081,2958400
21.499919,20.500081,4033600
22.249919,20.500081,5564800
25.000079,22.50,3249600
25.50,24.75,2046400
26.25,24.499921,5668800
26.749921,25.750079,2608000
26.500079,25.50,4243200
26.874959,26.124959,1849600
27.250079,26.500079,3457600
28.750079,27.499921,3873600
27.499921,27.00,1166400
28.000079,27.125041,2468800
28.000079,27.250079,1142400
28.750079,27.250079,1734400
28.999921,27.499921,3038400
